,max (document wise),mean (document wise),min (document wise)
w14722_6942-n,0.0006896552,0.0006896552,0.0006896552
w14722_7243-n,0.0006896552,0.0006896552,0.0006896552
w14722_13225-n,0.0006896552,0.0006896552,0.0006896552
w16602_3685-a,0.0008818342,0.0007857447,0.0006896552
w16602_4575-a,0.0008818342,0.0007857447,0.0006896552
w16602_4796-a,0.0008818342,0.0007857447,0.0006896552
w16602_12672-a,0.0008818342,0.0007857447,0.0006896552
w16602_13327-a,0.0008818342,0.0007857447,0.0006896552
w16602_27740-a,0.0008818342,0.0007857447,0.0006896552
w16602_30586-a,0.0008818342,0.0007857447,0.0006896552
w10427_2162-n,0.0006896552,0.0006896552,0.0006896552
w10427_6691-n,0.0006896552,0.0006896552,0.0006896552
w10427_8986-n,0.0006896552,0.0006896552,0.0006896552
w28183_6692-a,0.0013793104,0.0011305723,0.0008818342
w28183_15921-a,0.0013793104,0.0011305723,0.0008818342
w28183_27244-a,0.0013793104,0.0011305723,0.0008818342
w28183_27247-a,0.0013793104,0.0011305723,0.0008818342
w61196_16527-a,0.0013793104,0.0013793104,0.0013793104
w43426_10862-a,0.0006896552,0.0006896552,0.0006896552
w5371_1080-n,0.0020689655,0.0019163169,0.0017636684
w5371_1419-n,0.0020689655,0.0019163169,0.0017636684
w5371_1870-n,0.0020689655,0.0019163169,0.0017636684
w5371_3423-n,0.0020689655,0.0019163169,0.0017636684
w5371_4856-n,0.0020689655,0.0019163169,0.0017636684
w5371_6222-n,0.0020689655,0.0019163169,0.0017636684
w5371_9057-n,0.0020689655,0.0019163169,0.0017636684
w5371_11589-n,0.0020689655,0.0019163169,0.0017636684
w5371_15617-n,0.0020689655,0.0019163169,0.0017636684
w5371_17734-n,0.0020689655,0.0019163169,0.0017636684
w5371_23322-n,0.0020689655,0.0019163169,0.0017636684
w3190_638-n,0.0062068966,0.0035443655,0.0008818342
w3190_8304-n,0.0062068966,0.0035443655,0.0008818342
w100101_29268-n,0.0062068966,0.0035443655,0.0008818342
w5479_5500-n,0.0013793104,0.0013793104,0.0013793104
w5479_3466-n,0.0013793104,0.0013793104,0.0013793104
w5479_17734-n,0.0013793104,0.0013793104,0.0013793104
w10376_2150-a,0.0013793104,0.0013793104,0.0013793104
w1963_392-v,0.0013793104,0.0013793104,0.0013793104
w1963_4442-v,0.0013793104,0.0013793104,0.0013793104
w1963_9542-v,0.0013793104,0.0013793104,0.0013793104
w1963_11807-v,0.0013793104,0.0013793104,0.0013793104
w1963_27298-v,0.0013793104,0.0013793104,0.0013793104
w1963_32523-v,0.0013793104,0.0013793104,0.0013793104
