,max (document wise),mean (document wise),min (document wise)
w14890_12077-n,0.0008818342,0.0008818342,0.0008818342
w47114_11972-a,0.0008818342,0.0008818342,0.0008818342
w688_137-v,0.0008818342,0.0008818342,0.0008818342
w688_732-v,0.0008818342,0.0008818342,0.0008818342
w688_1798-v,0.0008818342,0.0008818342,0.0008818342
w688_4707-v,0.0008818342,0.0008818342,0.0008818342
w688_7490-v,0.0008818342,0.0008818342,0.0008818342
w688_10775-v,0.0008818342,0.0008818342,0.0008818342
w688_11453-v,0.0008818342,0.0008818342,0.0008818342
w688_11903-v,0.0008818342,0.0008818342,0.0008818342
w688_15700-v,0.0008818342,0.0008818342,0.0008818342
w688_16004-v,0.0008818342,0.0008818342,0.0008818342
w688_29493-v,0.0008818342,0.0008818342,0.0008818342
w52716_13650-n,0.0008818342,0.0008818342,0.0008818342
w4650_942-v,0.0008818342,0.0008818342,0.0008818342
w84031_24097-n,0.0008818342,0.0008818342,0.0008818342
w30864_7408-n,0.0008818342,0.0008818342,0.0008818342
w30310_7261-n,0.0008818342,0.0008818342,0.0008818342
w7721_1559-v,0.0008818342,0.0008818342,0.0008818342
w7721_2909-v,0.0008818342,0.0008818342,0.0008818342
w120191_36176-a,0.0008818342,0.0008818342,0.0008818342
w10683_2216-n,0.0017636684,0.0017636684,0.0017636684
w50759_13011-n,0.0017636684,0.0017636684,0.0017636684
w101517_29762-n,0.0008818342,0.0008818342,0.0008818342
w42267_10525-a,0.0017636684,0.0017636684,0.0017636684
w8478_1732-v,0.0008818342,0.0008818342,0.0008818342
w8478_10578-v,0.0008818342,0.0008818342,0.0008818342
w8478_12882-v,0.0008818342,0.0008818342,0.0008818342
w8478_25243-v,0.0008818342,0.0008818342,0.0008818342
w1614_332-n,0.0008818342,0.0008818342,0.0008818342
w1614_35918-n,0.0008818342,0.0008818342,0.0008818342
w20887_4747-v,0.0008818342,0.0008818342,0.0008818342
w20887_5033-v,0.0008818342,0.0008818342,0.0008818342
w20887_11210-v,0.0008818342,0.0008818342,0.0008818342
w3170_632-n,0.0008818342,0.0008818342,0.0008818342
w3170_7432-n,0.0008818342,0.0008818342,0.0008818342
w3170_36135-n,0.0008818342,0.0008818342,0.0008818342
w11696_2743-n,0.0008818342,0.0008818342,0.0008818342
w11696_3056-n,0.0008818342,0.0008818342,0.0008818342
w11696_8775-n,0.0008818342,0.0008818342,0.0008818342
w11696_4056-n,0.0008818342,0.0008818342,0.0008818342
w11696_5400-n,0.0008818342,0.0008818342,0.0008818342
w11696_5889-n,0.0008818342,0.0008818342,0.0008818342
w11696_9391-n,0.0008818342,0.0008818342,0.0008818342
w11696_11762-n,0.0008818342,0.0008818342,0.0008818342
w11696_13842-n,0.0008818342,0.0008818342,0.0008818342
w7809_1577-n,0.0008818342,0.0008818342,0.0008818342
w2977_592-a,0.0008818342,0.0008818342,0.0008818342
w2977_863-a,0.0008818342,0.0008818342,0.0008818342
w2977_2869-a,0.0008818342,0.0008818342,0.0008818342
w2977_9205-a,0.0008818342,0.0008818342,0.0008818342
w2977_10927-a,0.0008818342,0.0008818342,0.0008818342
w2977_15405-a,0.0008818342,0.0008818342,0.0008818342
w2977_6259-a,0.0008818342,0.0008818342,0.0008818342
w31532_7603-n,0.0008818342,0.0008818342,0.0008818342
w1685_341-n,0.0008818342,0.0008818342,0.0008818342
w10653_2206-v,0.0008818342,0.0008818342,0.0008818342
w10653_4526-v,0.0008818342,0.0008818342,0.0008818342
w29024_6931-a,0.0008818342,0.0008818342,0.0008818342
w9519_1948-a,0.0008818342,0.0008818342,0.0008818342
w9519_4551-a,0.0008818342,0.0008818342,0.0008818342
w9519_5551-a,0.0008818342,0.0008818342,0.0008818342
w9519_5735-a,0.0008818342,0.0008818342,0.0008818342
w9519_17351-a,0.0008818342,0.0008818342,0.0008818342
w9519_24295-a,0.0008818342,0.0008818342,0.0008818342
w38397_9562-n,0.0008818342,0.0008818342,0.0008818342
w5361_1076-v,0.0008818342,0.0008818342,0.0008818342
w5361_3231-v,0.0008818342,0.0008818342,0.0008818342
w32694_7954-n,0.0008818342,0.0008818342,0.0008818342
w31502_7592-n,0.0008818342,0.0008818342,0.0008818342
w30695_7367-n,0.0008818342,0.0008818342,0.0008818342
w30695_9773-n,0.0008818342,0.0008818342,0.0008818342
w30695_17256-n,0.0008818342,0.0008818342,0.0008818342
w30695_20558-n,0.0008818342,0.0008818342,0.0008818342
w105265_31040-n,0.0008818342,0.0008818342,0.0008818342
w96611_28113-n,0.0008818342,0.0008818342,0.0008818342
w3183_636-n,0.0008818342,0.0008818342,0.0008818342
w3183_3814-n,0.0008818342,0.0008818342,0.0008818342
w3183_4518-n,0.0008818342,0.0008818342,0.0008818342
w19542_4424-a,0.0008818342,0.0008818342,0.0008818342
w19542_28507-a,0.0008818342,0.0008818342,0.0008818342
w25154_5869-n,0.0008818342,0.0008818342,0.0008818342
w25154_8191-n,0.0008818342,0.0008818342,0.0008818342
w25154_8897-n,0.0008818342,0.0008818342,0.0008818342
w25154_17023-n,0.0008818342,0.0008818342,0.0008818342
w23884_5542-n,0.0008818342,0.0008818342,0.0008818342
w23884_8171-n,0.0008818342,0.0008818342,0.0008818342
w23884_8475-n,0.0008818342,0.0008818342,0.0008818342
w8232_1676-n,0.0008818342,0.0008818342,0.0008818342
w44131_11078-n,0.0008818342,0.0008818342,0.0008818342
w1649_336-a,0.0008818342,0.0008818342,0.0008818342
w1649_1321-a,0.0008818342,0.0008818342,0.0008818342
w1649_10173-a,0.0008818342,0.0008818342,0.0008818342
w106957_31606-a,0.0008818342,0.0008818342,0.0008818342
w156_32-n,0.0008818342,0.0008818342,0.0008818342
w156_2367-n,0.0008818342,0.0008818342,0.0008818342
w156_4155-n,0.0008818342,0.0008818342,0.0008818342
w156_5164-n,0.0008818342,0.0008818342,0.0008818342
w156_9295-n,0.0008818342,0.0008818342,0.0008818342
w22999_5315-n,0.0017636684,0.0017636684,0.0017636684
w22999_12495-n,0.0017636684,0.0017636684,0.0017636684
w4400_892-a,0.004409171,0.004409171,0.004409171
w4400_10063-a,0.004409171,0.004409171,0.004409171
w4400_12253-a,0.004409171,0.004409171,0.004409171
w4400_18235-a,0.004409171,0.004409171,0.004409171
w4400_27927-a,0.004409171,0.004409171,0.004409171
w4400_28132-a,0.004409171,0.004409171,0.004409171
w4400_28479-a,0.004409171,0.004409171,0.004409171
w4588_927-v,0.004409171,0.004409171,0.004409171
w4588_5862-v,0.004409171,0.004409171,0.004409171
w4588_6422-v,0.004409171,0.004409171,0.004409171
w4588_9719-v,0.004409171,0.004409171,0.004409171
w4588_19910-v,0.004409171,0.004409171,0.004409171
w33619_8226-n,0.0008818342,0.0008818342,0.0008818342
w42988_10737-n,0.0008818342,0.0008818342,0.0008818342
w42988_11238-n,0.0008818342,0.0008818342,0.0008818342
w42988_14568-n,0.0008818342,0.0008818342,0.0008818342
w42988_36129-n,0.0008818342,0.0008818342,0.0008818342
w47531_12109-n,0.0061728396,0.0061728396,0.0061728396
w37716_9383-n,0.0008818342,0.0008818342,0.0008818342
w37689_9379-n,0.0035273368,0.0035273368,0.0035273368
w54413_14225-n,0.0035273368,0.0035273368,0.0035273368
w62787_17075-n,0.0008818342,0.0008818342,0.0008818342
w48821_12446-v,0.0008818342,0.0008818342,0.0008818342
w48821_14134-v,0.0008818342,0.0008818342,0.0008818342
w19674_4455-a,0.0008818342,0.0008818342,0.0008818342
w19674_7983-a,0.0008818342,0.0008818342,0.0008818342
w99493_29056-n,0.0008818342,0.0008818342,0.0008818342
w10330_2139-v,0.0008818342,0.0008818342,0.0008818342
w10330_13978-v,0.0008818342,0.0008818342,0.0008818342
w10330_18564-v,0.0008818342,0.0008818342,0.0008818342
w10330_33039-v,0.0008818342,0.0008818342,0.0008818342
w53689_13977-v,0.0008818342,0.0008818342,0.0008818342
w19530_4424-a,0.0008818342,0.0008818342,0.0008818342
w19894_4507-a,0.0008818342,0.0008818342,0.0008818342
w19894_7152-a,0.0008818342,0.0008818342,0.0008818342
w19894_11082-a,0.0008818342,0.0008818342,0.0008818342
w19558_4426-n,0.0008818342,0.0008818342,0.0008818342
w19558_9845-n,0.0008818342,0.0008818342,0.0008818342
w5243_1055-v,0.0008818342,0.0008818342,0.0008818342
w5243_4161-v,0.0008818342,0.0008818342,0.0008818342
w10758_2238-n,0.0008818342,0.0008818342,0.0008818342
w10758_8379-n,0.0008818342,0.0008818342,0.0008818342
w46945_11910-n,0.0008818342,0.0008818342,0.0008818342
w28346_6744-n,0.0008818342,0.0008818342,0.0008818342
w19493_4416-n,0.0008818342,0.0008818342,0.0008818342
w96242_27979-n,0.0008818342,0.0008818342,0.0008818342
